mu,std_y,rms_y,rms_dy,rms_ddy,energy_y,signal_power,peak_to_peak,crest_factor,zero_crossings,entropy_y,skewness_y,kurtosis_y,mean_abs_y,shape_factor,regime
0.1,1.0,0.99498743710662,0.352247710306108,0.14315207182622,98.9999999999999,0.989999999999999,2.79241798577502,1.42742725759842,27,6.20109865254579,0.0245632195689497,1.50393494764429,0.898480564500072,1.1074111966576,Weak_Nonlinear
0.0,0.999999999999998,0.994987437106618,0.0472292309156014,0.0188896968841339,98.9999999999995,0.989999999999995,2.80949296078794,1.41213974760559,30,6.19101830127706,1.46609481854811e-05,1.51023539850621,0.893676021130659,1.11336481407186,Harmonic
0.01,1.0,0.99498743710662,0.352124732629111,0.140983623022457,98.9999999999999,0.989999999999999,2.81360212887904,1.44615249887258,27,6.18703302770021,0.0507333108588245,1.51411486514801,0.892199952841122,1.1152067806529,Weak_Nonlinear
1e-09,0.999999999999998,0.994987437106618,0.0576554251642086,0.0230253034240941,98.9999999999996,0.989999999999996,2.81236945491316,1.434429254858,29,6.18231862343137,-0.0209667402837209,1.51743065801425,0.889411114332976,1.11870362431081,Harmonic
1e-09,0.999999999999998,0.994987437106618,0.0692115591837318,0.0274622043882681,98.9999999999997,0.989999999999997,2.82054163446877,1.42814343406117,28,6.18468507456464,0.0117993714237484,1.51473814527182,0.891360714619585,1.11625677549774,Harmonic
1e-09,0.999999999999998,0.994987437106618,0.0681937582539646,0.0274287645942196,98.9999999999997,0.989999999999997,2.8052828900011,1.41206870017143,27,6.19407629583916,-0.0066104277686861,1.50431331495867,0.893174535937538,1.11398992814121,Harmonic
10.0,1.0,0.99498743710662,0.696318207728751,1.3719653012442,98.9999999999999,0.989999999999999,2.48206907271754,1.30013664241552,4,6.38033413416059,-0.0981103596358504,1.2746972906608,0.934307402899828,1.06494654116885,Relaxation
12.0,1.0,0.99498743710662,0.70077668718474,1.66381315278648,99.0,0.99,2.50688705081775,1.4319654812781,4,6.36411342187369,0.278725547670881,1.32676904986657,0.934220780540289,1.06504528461804,Relaxation
0.05,1.0,0.99498743710662,0.353249309523529,0.142201982103315,98.9999999999999,0.989999999999999,2.80714133455481,1.4435796916155,26,6.18228927141039,-0.0536550861203276,1.51767646244102,0.890489847384615,1.11734843471704,Weak_Nonlinear
0.01,1.0,0.99498743710662,0.351864631630281,0.14108468008046,99.0,0.99,2.81077617684175,1.43770422393392,27,6.19122031976729,-0.0320429085453382,1.50947780832354,0.893354142945168,1.1137659627641,Weak_Nonlinear
1e-10,0.999999999999998,0.994987437106618,0.0612627352630714,0.0247910444939115,98.9999999999997,0.989999999999997,2.79817323300823,1.42884832252933,28,6.1946607603893,-0.0285448308795327,1.50222350122981,0.89369620758832,1.11333966582631,Harmonic
15.0,1.0,0.99498743710662,0.682387895000486,2.29334673515026,99.0,0.99,2.40711203273765,1.26832236510434,3,6.46247473165938,0.0522711125521226,1.18542793469259,0.95273236016742,1.04435146606312,Relaxation
2.0,1.0,0.99498743710662,0.358717351088661,0.22683867005908,99.0,0.99,2.66011862123009,1.35633390654486,11,6.25571229587376,-0.0603808519820161,1.40819874495657,0.903134583755533,1.10170450230035,Strong_Nonlinear
0.1,1.0,0.99498743710662,0.349090543529102,0.144257253664731,98.9999999999999,0.989999999999999,2.77009626876451,1.39753605052687,27,6.21466920213209,6.19156765882144e-05,1.48379621588309,0.900681178579053,1.10470548377212,Weak_Nonlinear
2.0,1.0,0.99498743710662,0.36294431013498,0.222865860749963,99.0,0.99,2.67846444987328,1.35764077659818,12,6.24348417384855,0.0125974105532392,1.42211106586289,0.902304920314091,1.10271751234634,Strong_Nonlinear
4.0,1.0,0.99498743710662,0.447593444025338,0.410616021581113,98.9999999999999,0.989999999999999,2.57079496843593,1.34256150196767,8,6.27907524193297,0.0707038442814015,1.37682190474322,0.907948511793029,1.09586328319621,Strong_Nonlinear
